"hydrocode","name","bundle","ftype","wkt_geom"
"VA0024988","UOSA - CENTREVILLE","facility","wwtp","POINT (38.81142 -77.45508)"
"VA0024996","FALLING CREEK WWTP","facility","wwtp","POINT (37.44059 -77.43384)"
"VA0025020","WVWA - WPCP","facility","wwtp","POINT (37.263578 -79.91236)"
"VA0025054","BLUEFIELD WESTSIDE WWTP","facility","wwtp","POINT (37.261 -81.2818)"
"VA0025101","PWCSA - H L MOONEY WASTEWATER TREATMENT WORKS","facility","wwtp","POINT (38.61623 -77.26961)"
"VA0025127","FREDERICKSBURG WASTEWATER TREATMENT FACILITY","facility","wwtp","POINT (38.288972 -77.451111)"
"VA0025143","ARLINGTON COUNTY WATER POLLUTION CONTROL FACILITY","facility","wwtp","POINT (38.8439 -77.05692)"
"VA0025151","WAYNESBORO WWTP","facility","wwtp","POINT (38.080536 -78.874625)"
"VA0025160","ALEXANDRIA RENEW ENTERPRISES WWTP","facility","wwtp","POINT (38.7989 -77.0606)"
"VA0025194","BLACKSTONE WWTP","facility","wwtp","POINT (37.07953 -77.99797)"
"VA0025216","USAF - JOINT BASE LANGELY - EUSTIS","facility","wwtp","POINT (37.121274 -76.602274)"
"VA0025291","FISHERSVILLE REGIONAL WWTP","facility","wwtp","POINT (38.1276 -78.9961)"
"VA0025305","MARTINSVILLE CITY SEWAGE TREATMENT PLANT","facility","wwtp","POINT (36.645609 -79.835099)"
"VA0025364","NOMAN M COLE JR POLLUTION CONTROL PLANT","facility","wwtp","POINT (38.704002 -77.207057)"
"VA0025437","SOUTH CENTRAL WASTEWATER AUTHORITY WWTF","facility","wwtp","POINT (37.23754 -77.39709)"
"VA0025470","SCOTTSVILLE WWTP","facility","wwtp","POINT (37.797222 -78.494444)"
"VA0025488","CAMELOT WWTP","facility","wwtp","POINT (38.1549 -78.42025)"
"VA0025518","MOORES CREEK ADVANCED WATER RESOURCE RECOVERY FAC","facility","wwtp","POINT (38.017507 -78.460485)"
"VA0025542","COVINGTON CITY - WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (37.759154 -79.995574)"
"VA0025569","HANOVER COUNTY DOSWELL WTP","facility","wwtp","POINT (37.849207 -77.441982)"
"VA0025658","MASSAPONAX WASTEWATER TREATMENT FACILITY","facility","wwtp","POINT (38.24944 -77.42358)"
"VA0025992","FLOYD TOWN - FLOYD CO - PUBLIC SERVICE AUTHORITY","facility","wwtp","POINT (36.91028 -80.338056)"
"VA0026051","TRANSMONTAIGNE MONTVALE ATLANTIC TERMINAL","facility","wwtp","POINT (37.382847 -79.73251)"
"VA0026212","ROUND HILL TOWN WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (39.120556 -77.757222)"
"VA0026221","ST PAUL WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (36.90426 -82.31893)"
"VA0026239","KENBRIDGE STP","facility","wwtp","POINT (36.9577 -78.1144)"
"VA0026247","BOYDTON WWTP","facility","wwtp","POINT (36.66933 -78.37457)"
"VA0026263","HRSD URBANNA SEWAGE TREATMENT PLANT","facility","wwtp","POINT (37.63229 -76.58099)"
"VA0026298","TAZEWELL WWTP","facility","wwtp","POINT (37.125443 -81.556467)"
"VA0026379","CHILHOWIE REGIONAL WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (36.791667 -81.686111)"
"VA0026387","HONAKER STP","facility","wwtp","POINT (37.007778 -81.970278)"
"VA0026409","TOWN OF COLONIAL BEACH WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (38.24964 -76.961142)"
"VA0026417","BOYKINS TOWN - WASTE WATER TREATMENT PLANT","facility","wwtp","POINT (36.5742 -77.1883)"
"VA0026433","ELKTON STP","facility","wwtp","POINT (38.4103 -78.6353)"
"VA0026441","MT JACKSON STP","facility","wwtp","POINT (38.748611 -78.631389)"
"VA0026468","WOODSTOCK STP","facility","wwtp","POINT (38.88199 -78.48218)"
"VA0026484","SCHUYLER STP","facility","wwtp","POINT (37.788026 -78.694761)"
"VA0026514","DAHLGREN DISTRICT WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (38.3394 -77.057)"
"VA0026531","WOLF CREEK WATER RECLAMATION FACILITY","facility","wwtp","POINT (36.68706 -81.98219)"
"VA0026557","PHILIP MORRIS USA INCORPORATED - PARK 500","facility","wwtp","POINT (37.3404 -77.27738)"
"VA0026565","CLINTWOOD WWTP","facility","wwtp","POINT (37.153611 -82.4175)"
"VA0026778","WASHINGTON COUNTY PUBLIC SCHOOLS - HOLSTON HIGH","facility","wwtp","POINT (36.65491 -81.79374)"
"VA0026786","WASHINGTON COUNTY PUBLIC SCHOOLS -VALLEY INSTITUTE","facility","wwtp","POINT (36.63267 -82.27201)"
"VA0026808","SALTVILLE TOWN - WWTP","facility","wwtp","POINT (36.88801 -81.77042)"
"VA0026816","ALBERTA WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (36.842222 -77.901944)"
"VA0026891","WARSAW WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (37.915278 -76.723056)"
"VA0026964","RUSSELL PRATER ELEMENTARY SCHOOL","facility","wwtp","POINT (37.2781 -82.0964)"
"VA0026972","BUCHANAN CNTY PUBLIC SCHOOLS - HURLEY HIGH SCHOOL","facility","wwtp","POINT (37.413333 -82.011389)"
"VA0026999","BUCHANAN CNTY PUBLIC SCHOOLS - J M BEVINS ELEM","facility","wwtp","POINT (37.312778 -81.978889)"
"VA0027014","BRUNSWICK COUNTY - STURGEON ELEMENTARY SCHOOL","facility","wwtp","POINT (36.810657 -77.773729)"
"VA0027022","MEHERRIN POWELLTON ELEMENTARY","facility","wwtp","POINT (36.668549 -77.798001)"
"VA0027065","COOPER INDUSTRIES LLC","facility","wwtp","POINT (38.137482 -78.491812)"
"VA0027162","ACCOMACK COUNTY - KEGOTANK ELE","facility","wwtp","POINT (37.84578 -75.56723)"
"VA0027171","ACCOMACK COUNTY - PUNGOTEAGUE","facility","wwtp","POINT (37.652518 -75.791263)"
"VA0027197","MIDDLEBURG ACADEMY","facility","wwtp","POINT (38.98913 -77.78463)"
"VA0027278","PEARSON ELEMENTARY SCHOOL","facility","wwtp","POINT (38.65065 -77.67819)"
"VA0027294","BUCKINGHAM CO WATER SYSTEM/DILLWYN STP","facility","wwtp","POINT (37.538908 -78.462027)"
"VA0027375","CAPRON TOWN - ELEMENTARY SCHOOL","facility","wwtp","POINT (36.70542 -77.18992)"
"VA0027413","DICKENSON CNTY PUBLIC SCHOOLS","facility","wwtp","POINT (37.133889 -82.49)"
"VA0027421","DICKENSON CNTY PUBLIC SCHOOLS - ERVINTON E S STP","facility","wwtp","POINT (37.067702 -82.343634)"
"VA0027430","DICKENSON CNTY PUBLIC SCHOOLS","facility","wwtp","POINT (37.048342 -82.360787)"
"VA0027464","DICKENSON CNTY PUBLIC SCHOOLS - SANDLICK E S STP","facility","wwtp","POINT (37.183056 -82.276944)"
"VA0027481","BLACKSBURG COUNTRY CLUB WWTP","facility","wwtp","POINT (37.21461 -80.35882)"
"VA0027537","RIVERSIDE SHORE MEMORIAL HOSPITAL","facility","wwtp","POINT (37.47444 -75.863752)"
"VA0027553","EAGLE EYRIE BAPTIST CONFERENCE CENTER SEWAGE TREAT","facility","wwtp","POINT (37.48153 -79.27793)"
"VA0027561","CHILDRENS HOME OF VA BAPTISTS LAGOON","facility","wwtp","POINT (37.263258 -77.489236)"
"VA0027618","US DEPARTMENT OF LABOR-RESCARE INCORPORATED","facility","wwtp","POINT (37.54935 -79.1295)"
"VA0027642","LAKE HOLIDAY WWTP","facility","wwtp","POINT (39.311667 -78.306389)"
"VA0027685","PITTSYLVANIA CO - DAN RIVER HIGH SCHOOL","facility","wwtp","POINT (36.66182 -79.29992)"
"VA0027693","PITTSYLVANIA CO - TUNSTALL HIGH SCHOOL","facility","wwtp","POINT (36.6694 -79.52439)"
"VA0027707","PITTSYLVANIA CO - MOUNT AIRY ELEMENTARY SCHOOL","facility","wwtp","POINT (36.9451 -79.17767)"
"VA0027715","PITTSYLVANIA CO - UNION HALL ELEM SCHOOL","facility","wwtp","POINT (36.76974 -79.54466)"
"VA0027839","WOODBERRY FOREST SCHOOL","facility","wwtp","POINT (38.298056 -78.118056)"
"VA0027855","WOODBRIDGE MOBILE HOME PARK STP","facility","wwtp","POINT (38.66344 -77.29118)"
"VA0027901","HARRISTON WWTP","facility","wwtp","POINT (38.21094 -78.82781)"
"VA0027910","MANAKIN FARMS WATEWATER TREATMENT PLANT (WWTP)","facility","wwtp","POINT (37.607777 -77.728333)"
"VA0027944","NATURAL BRIDGE JUVENILE CORRECTIONAL CENTER","facility","wwtp","POINT (37.585588 -79.509633)"
"VA0027952","CRAIG SPRINGS CAMP AND RETREAT CENTER","facility","wwtp","POINT (37.484166 -80.291666)"
"VA0027979","ALLEGHANY COUNTY - LOW MOOR WWTP","facility","wwtp","POINT (37.788406 -79.882395)"
"VA0028029","RIVER RIDGE ASSOCIATION INC","facility","wwtp","POINT (36.581389 -78.145556)"
"VA0028037","SKYLINE SWANNANOA STP","facility","wwtp","POINT (38.03156 -78.85838)"
"VA0028233","WARM SPRINGS STP","facility","wwtp","POINT (38.049877 -79.796685)"
"VA0028258","RED HILL UTILITY LLC","facility","wwtp","POINT (37.26205 -77.34854)"
"VA0028291","NOTTOWAY MOTEL AND RESTAURANT","facility","wwtp","POINT (36.942332 -77.735223)"
"VA0028321","BVU AUTHORITY","facility","wwtp","POINT (36.6684 -81.96335)"
"VA0028363","US MARINE CORPS - MCB QUANTICO - MAINSIDE STP","facility","wwtp","POINT (38.52166 -77.29)"
"VA0028371","US MARINE CORPS - MCB QUANTICO - CAMP UPSHUR STP","facility","wwtp","POINT (38.52166 -77.29)"
"VA0028380","STONEY CREEK SANITARY DISTRICT STP","facility","wwtp","POINT (38.83274 -78.74458)"
"VA0028398","CHARLOTTESVILLE-ALBEMARLE AIRPORT INDUSTRIAL PARK","facility","wwtp","POINT (38.13556 -78.45903)"
"VA0028401","SHRINE MONT STP","facility","wwtp","POINT (38.793889 -78.810833)"
"VA0028461","RAPPAHANNOCK COMMUNITY COLLEGE - GLENNS CAMPUS","facility","wwtp","POINT (37.5634 -76.62593)"
"VA0028622","HARBOUR EAST VILLAGE WWTP","facility","wwtp","POINT (37.34979 -77.373729)"
"VA0028762","NORTH ELEMENTARY SCHOOL","facility","wwtp","POINT (37.224063 -77.286916)"
"VA0028819","HRSD MATHEWS COURTHOUSE SEWAGE","facility","wwtp","POINT (37.433056 -76.323611)"
"VA0028916","SKIPPERS WASTEWATER TREATMENT FACILITY","facility","wwtp","POINT (36.60473 -77.56664)"
"VA0029084","BELLAMY MANUFACTURING AND REPAIR COMPANY","facility","wwtp","POINT (36.65472 -82.46608)"
"VA0029092","NEW BALTIMORE SHELL","facility","wwtp","POINT (38.766944 -77.709167)"
"VA0029254","FERRUM TOWN  - SEWAGE TREATMENT PLANT","facility","wwtp","POINT (36.9268 -80.01129)"
"VA0029319","CHARLOTTE COUNTY SCHOOLS BACON DISTRICT ELEMENTARY","facility","wwtp","POINT (36.888117 -78.564774)"
"VA0029335","CHARLOTTE COUNTY SCHOOLS PHENIX ELEMENTARY SCHOOL","facility","wwtp","POINT (37.08532 -78.7463)"
"VA0029343","THE TIDES UTILITIES LLC NORTH WWTP","facility","wwtp","POINT (37.67089 -76.42797)"
"VA0029351","THE TIDES UTILITIES LLC SOUTH","facility","wwtp","POINT (37.664082 -76.427485)"
"VA0029416","COLCHESTER UTILITIES INC","facility","wwtp","POINT (38.66924 -77.22205)"
"VA0029475","DBHDS - CATAWBA HOSPITAL","facility","wwtp","POINT (37.39169 -80.10805)"
"VA0029513","THORNBURG COMMUNITY SEWAGE TREATMENT PLANT","facility","wwtp","POINT (38.135989 -77.515833)"
"VA0029521","HANOVER COUNTY DOSWELL WWTP","facility","wwtp","POINT (37.835674 -77.450141)"
"VA0029556","BLUE RIDGE SCHOOL STP","facility","wwtp","POINT (38.26603 -78.55587)"
"VA0029564","DUFFIELD INDUSTRIAL PARK WWTP","facility","wwtp","POINT (36.71128 -82.79583)"
"VA0029599","PENNINGTON GAP STP","facility","wwtp","POINT (36.757222 -83.010278)"
"VA0029653","COUNTY COURT REPORTERS STP","facility","wwtp","POINT (39.215833 -78.082222)"
"VA0029688","SMYTH COUNTY PUBLIC SCHOOLS - NORTHWOOD MIDDLE","facility","wwtp","POINT (36.928333 -81.628889)"
"VA0029769","PO RIVER WATER AND SEWER WWTP","facility","wwtp","POINT (38.13982 -77.55442)"
"VA0029785","LINCOLN TERMINAL COMPANY","facility","wwtp","POINT (38.284314 -77.451871)"
"VA0029858","CARVER ESTATES - SEWAGE TREATMENT PLANT","facility","wwtp","POINT (36.664883 -79.928955)"
"VA0030112","WISE TOWN - WATER TREATMENT PLANT","facility","wwtp","POINT (36.9675 -82.534444)"
"VA0030121","TRI-STATE CHRISTIAN SERVICE STP","facility","wwtp","POINT (39.097361 -78.337061)"
"VA0030589","WASHINGTON COUNTY PUBLIC SCHOOLS - MEADOWVIEW ELEM","facility","wwtp","POINT (36.75105 -81.8574)"
"VA0030767","CENTRAL WWTP","facility","wwtp","POINT (37.825588 -78.27297)"
"VA0031011","WINTERGREEN MOUNTAIN","facility","wwtp","POINT (37.9053 -78.9649)"
"VA0031194","BRIARWOOD VILLAGE MOBILE HOME PARK STP","facility","wwtp","POINT (37.289605 -79.172528)"
"VA0031321","RUTLEDGE CREEK WWTP","facility","wwtp","POINT (37.583611 -79.030556)"
"VA0031356","PRINCE GEORGE SEWERAGE AND WATER COMPANY","facility","wwtp","POINT (37.07875 -77.35955)"
"VA0031763","MARSHALL WASTE WATER TREATMENT PLANT","facility","wwtp","POINT (38.85799 -77.86738)"
"VA0032000","US DEPARTMENT OF DEFENSE - PENTAGON","facility","wwtp","POINT (38.862721 -77.056704)"
"VA0032034","US ARMY - FORT A P HILL - WILCOX CAMP","facility","wwtp","POINT (38.072354 -77.32246)"
"VA0032115","MORRIS HILL SEWAGE TREATMENT PLANT","facility","wwtp","POINT (37.94833 -79.949167)"
"VA0032123","BOLAR MOUNTAIN","facility","wwtp","POINT (37.980278 -79.981667)"
"VA0050032","NEWPORT NEWS CITY - LEE HALL WTP","facility","wwtp","POINT (37.168075 -76.559969)"
"VA0050181","MANASSAS CITY WATER TREATMENT PLANT","facility","wwtp","POINT (38.76297 -77.62245)"
"VA0050351","JEWELL COKE COMPANY COKE PLANTS 2 AND 3","facility","wwtp","POINT (37.23434 -82.03706)"
"VA0050989","MAURY SERVICE AUTHORITY WTP","facility","wwtp","POINT (37.79581 -79.45614)"
"VA0051144","GREENE COUNTY WTP","facility","wwtp","POINT (38.279722 -78.340833)"
"VA0051373","NATIONAL FRUIT PRODUCT COMPANY","facility","wwtp","POINT (39.19417 -78.16592)"
"VA0051420","BRIDGEWATER WTP","facility","wwtp","POINT (38.38775 -78.98302)"
"VA0051446","TRANSMONTAIGNE  MONTVALE PIEDMONT TERMINAL","facility","wwtp","POINT (37.388247 -79.7314)"
"VA0051683","COLONIAL PIPELINE - CHANTILLY STATION","facility","wwtp","POINT (38.832777 -77.4025)"
"VA0051713","COLONIAL PIPELINE CO - LYNCHBU","facility","wwtp","POINT (37.49519 -79.05729)"
"VA0051756","CHINCOTEAGUE TOWN - WATER TREA","facility","wwtp","POINT (37.93147 -75.374218)"
"VA0051799","PULASKI CO PUBLIC SERVICE AUTH","facility","wwtp","POINT (36.99935 -80.72567)"
"VA0051888","LYNCHBURG CITY ABERT WATER FIL","facility","wwtp","POINT (37.492972 -79.232944)"
"VA0051926","COLONIAL PIPELINE COMPANY - MITCHELL JUNCTION","facility","wwtp","POINT (37.665026 -78.23809)"
"VA0052302","BLAND COUNTY WATER AUTHORITY -","facility","wwtp","POINT (37.090556 -81.111111)"
"VA0052337","APPALACHIA WTP","facility","wwtp","POINT (36.901667 -82.753611)"
"VA0052434","SCOTT COUNTY PSA WATER TREATME","facility","wwtp","POINT (36.6375 -82.558056)"
"VA0052451","DOMINION - NORTH ANNA POWER STATION","facility","wwtp","POINT (38.05477 -77.80041)"
"VA0052621","VALLEY MILK PRODUCTS","facility","wwtp","POINT (38.98779 -78.35636)"
"VA0052639","NORFOLK SOUTHERN RAILWAY CO -WELLER YARD TERMINAL","facility","wwtp","POINT (37.327778 -82.175278)"
"VA0052655","ALBEMARLE US INC","facility","wwtp","POINT (36.735277 -82.7575)"
"VA0052817","WOODSTOCK WTP","facility","wwtp","POINT (38.86443 -78.51089)"
"VA0052841","COLONIAL PIPELINE CO - WITT ST","facility","wwtp","POINT (36.6775 -79.395556)"
"VA0052850","NRV REGIONAL WATER AUTHORITY WTP","facility","wwtp","POINT (37.23215 -80.42173)"
"VA0052906","DOSWELL TRUCK STOP","facility","wwtp","POINT (37.84631 -77.44984)"
"VA0053023","PENNINGTON GAP WATER PLANT","facility","wwtp","POINT (36.757227 -83.02419)"
"VA0053082","BUCKEYE TERMINALS LLC - CHESAPEAKE TERMINAL","facility","wwtp","POINT (36.78362 -76.29806)"
"VA0053121","ORANGE TOWN WATER TREATMENT PLANT","facility","wwtp","POINT (38.26465 -78.15642)"
"VA0053228","JOHN FLANNAGAN WATER AUTHORITY","facility","wwtp","POINT (37.21853 -82.339903)"
"VA0053317","DOMINION - BATH COUNTY POWER STATION","facility","wwtp","POINT (38.192528 -79.81373)"
"VA0053465","GREATER TAZEWELL AREA REGIONAL","facility","wwtp","POINT (37.125279 -81.49848)"
"VA0053473","APEX OIL COMPANY - CHESAPEAKE TERMINAL DIVISION","facility","wwtp","POINT (36.80443 -76.28709)"
"VA0053554","GE MOBILE WATER INCORPORATED","facility","wwtp","POINT (36.85758 -76.23014)"
"VA0053686","KINDER MORGAN - SOUTH HILL TERMINAL","facility","wwtp","POINT (36.793 -76.28704)"
"VA0053813","COLONNAS SHIPYARD INC","facility","wwtp","POINT (36.83424 -76.27597)"
"VA0053911","KINDER MORGAN SOUTHEAST TERMINALS - CHESAPEAKE","facility","wwtp","POINT (36.782048 -76.297978)"
"VA0054003","SUNSET BAY UTILITIES - SOUTH","facility","wwtp","POINT (37.931374 -75.380738)"
"VA0054291","IMTT VIRGINIA - RICHMOND EAST","facility","wwtp","POINT (37.50949 -77.41392)"
"VA0054330","SLURRY PAVERS CHESTERFIELD FACILITY","facility","wwtp","POINT (37.41826 -77.42728)"
"VA0054381","DGIF - MARION FISH CULTURAL STATION","facility","wwtp","POINT (36.824034 -81.47707)"
"VA0054453","NEW MARKET POULTRY LLC","facility","wwtp","POINT (38.647152 -78.67038)"
"VA0054577","BUCKEYE TERMINALS LLC - MONTVALE TERMINAL","facility","wwtp","POINT (37.383467 -79.733185)"
"VA0054623","CITGO PETROLEUM CORPORATION - CHESAPEAKE TERMINAL","facility","wwtp","POINT (36.78654 -76.29809)"
"VA0054780","RADFORD CITY - WATER TREATMENT PLANT","facility","wwtp","POINT (37.126793 -80.591726)"
"VA0054828","NORFOLK OIL TRANSIT INCORPORATED","facility","wwtp","POINT (36.868056 -76.314722)"
"VA0055000","CROZET WTP","facility","wwtp","POINT (38.068333 -78.659722)"
"VA0055018","SCOTTSVILLE WTP","facility","wwtp","POINT (37.79162 -78.51672)"
"VA0055328","MAGELLAN TERMINALS HOLDINGS LP - MONTVALE TERMINAL","facility","wwtp","POINT (37.369982 -79.69729)"
"VA0055409","IMTT - VIRGINIA LLC - RICHMOND","facility","wwtp","POINT (37.50949 -77.41392)"
"VA0055832","BKEP MATERIALS LLC - NEWPORT N","facility","wwtp","POINT (36.9698 -76.41731)"
"VA0056138","IMTT-VIRGINIA LLC - CHESAPEAKE TERMINAL","facility","wwtp","POINT (36.776317 -76.309844)"
"VA0056537","CITY OF WILLIAMSBURG WATER FILTER PLANT","facility","wwtp","POINT (37.30192 -76.70626)"
"VA0057142","KINDER MORGAN BULK TERMINALS - PIER IX","facility","wwtp","POINT (36.96979 -76.42834)"
"VA0057380","QUARLES PETROLEUM - NEWINGTON","facility","wwtp","POINT (38.73129 -77.19288)"
"VA0057487","STAFFORD COUNTY - ABEL LAKE WATER TREATMENT PLANT","facility","wwtp","POINT (38.38819 -77.4824)"
"VA0057541","PRAXAIR INCORPORATED","facility","wwtp","POINT (37.0896 -76.38513)"
"VA0057576","DOMINION TERMINAL ASSOCIATES LLP","facility","wwtp","POINT (36.966822 -76.415479)"
"VA0057606","OMOHUNDRO WELL WTP","facility","wwtp","POINT (37.7725 -78.294166)"
"VA0058041","VULCAN CONSTRUCTION MATERIALS","facility","wwtp","POINT (37.685285 -77.541995)"
"VA0058050","BUCKINGHAM COUNTY WTP","facility","wwtp","POINT (37.5698 -78.5308)"
"VA0058254","BASF CORPORATION - SUFFOLK","facility","wwtp","POINT (36.77736 -76.54321)"
"VA0058378","KINDER MORGAN SOUTHEAST TERMINALS LLC - RICHMOND 2","facility","wwtp","POINT (37.46949 -77.42737)"
"VA0058424","AUSTINVILLE LIMESTONE COMPANY INCORPORATED","facility","wwtp","POINT (36.848675 -80.917276)"
"VA0058572","ARC TERMINALS HOLDINGS LLC","facility","wwtp","POINT (36.821048 -76.284602)"
"VA0058599","BERRYVILLE WTP","facility","wwtp","POINT (39.1025 -77.984167)"
"VA0058611","HANOVER COUNTY DPU STRAWHORN S","facility","wwtp","POINT (37.64806 -77.33559)"
"VA0058785","WISE CNTY PSA - WISE COUNTY RE","facility","wwtp","POINT (36.90398 -82.37377)"
"VA0058793","WARRENTON TOWN WATER TREATMENT PLANT","facility","wwtp","POINT (38.737652 -77.790131)"
"VA0058891","NORTHEAST CREEK WATER TREATMENT PLANT","facility","wwtp","POINT (37.9786 -77.94033)"
"VA0059056","ATLANTIC POLE VIRGINIA LLC DBA ATLANTIC POLE & PIL","facility","wwtp","POINT (36.62212 -77.1421)"
"VA0059072","GEORGIA PACIFIC WOOD PRODUCTS LLC - SKIPPERS","facility","wwtp","POINT (36.548859 -77.525171)"
"VA0059137","DGIF - WYTHEVILLE FISH CULTURA","facility","wwtp","POINT (36.93081 -80.9003)"
"VA0059145","CULPEPER WOOD PRESERVERS - CULPEPER","facility","wwtp","POINT (38.48333 -77.96)"
"VA0059161","US ARMY GARRISON AND FORT LEE","facility","wwtp","POINT (37.24 -77.34)"
"VA0059170","THE APPLE HOUSE WWTP","facility","wwtp","POINT (38.914167 -78.101667)"
"VA0060194","PROCTORS CREEK WWTP","facility","wwtp","POINT (37.381453 -77.378036)"
"VA0060275","BREAKS INTERSTATE PARK CAMP NO 3 STP","facility","wwtp","POINT (37.294387 -82.280087)"
"VA0060321","PULASKI MOTEL","facility","wwtp","POINT (37.021653 -80.729108)"
"VA0060330","UNIONVILLE ELEMENTARY SCHOOL","facility","wwtp","POINT (38.260196 -77.955656)"
"VA0060348","HARTWOOD ELEMENTARY SCHOOL","facility","wwtp","POINT (38.400277 -77.560833)"
"VA0060364","FINCASTLE TOWN - REGIONAL SEWAGE TREATMENT PLANT","facility","wwtp","POINT (37.516667 -79.879444)"
"VA0060402","MCKENNEY WWTP","facility","wwtp","POINT (36.980972 -77.740472)"
"VA0060429","FOUR WINDS CAMPGROUND SEWAGE TREATMENT PLANT","facility","wwtp","POINT (38.24824 -77.26506)"
"VA0060445","HENRY COUNTY PUBLIC SA - PIEDMONT ESTATES LAGOON","facility","wwtp","POINT (36.678685 -79.713784)"
"VA0060500","WATERFORD SEWAGE TREATMENT PLANT","facility","wwtp","POINT (39.19063 -77.61685)"
"VA0060526","VDOC - ST BRIDES CORRECTIONAL CENTER","facility","wwtp","POINT (36.61538 -76.18467)"
"VA0060569","WINDMILL POINT RESORT AND YACHT HARBOR","facility","wwtp","POINT (37.61682 -76.2923)"
"VA0060585","CHARLES CITY ADMINISTRATION BUILDING","facility","wwtp","POINT (37.34091 -77.07574)"
"VA0060593","DANVILLE CITY - NORTHSIDE","facility","wwtp","POINT (36.564695 -79.360352)"
"VA0060640","NORTH RIVER WWTF","facility","wwtp","POINT (38.343547 -78.92986)"
"VA0060712","REEDVILLE SANITARY DISTRICT","facility","wwtp","POINT (37.831402 -76.270039)"
"VA0060763","SW VIRGINIA TRAINING CENTER ST","facility","wwtp","POINT (36.74248 -80.7955)"
"VA0060798","APPALACHIA ELEMENTARY SCHOOL STP","facility","wwtp","POINT (36.924156 -82.746412)"
"VA0060844","BLACKSBURG VPI SANITATION AUTH - LOWER STROUBLES","facility","wwtp","POINT (37.191389 -80.519444)"
"VA0060879","RAPIDAN BAPTIST CAMP AND CONFERENCE CENTER","facility","wwtp","POINT (38.28285 -78.30003)"
"VA0060887","LAKE LAND OR WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (38.008816 -77.552238)"
"VA0060909","DARE TO CARE CHARITIES INC","facility","wwtp","POINT (37.4164 -79.73605)"
"VA0060917","CAMP SHENANDOAH STP","facility","wwtp","POINT (38.1348 -79.22907)"
"VA0060968","AQUIA WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (38.44636 -77.39547)"
"VA0061042","BENNIES MOBILE HOME PARK SEWAGE TREATMENT PLANT","facility","wwtp","POINT (37.359376 -79.110052)"
"VA0061158","NOTTOWAY COUNTY SCHOOLS NOTTOWAY HIGH","facility","wwtp","POINT (37.120833 -78.065278)"
"VA0061247","GLADSTONE STP","facility","wwtp","POINT (37.543889 -78.846389)"
"VA0061280","VICA","facility","wwtp","POINT (39.228207 -77.533625)"
"VA0061298","JOHN J WRIGHT EDUCATIONAL AND CULTURAL CENTER","facility","wwtp","POINT (38.15596 -77.59986)"
"VA0061301","BERKELEY ELEMENTARY SCHOOL","facility","wwtp","POINT (38.12132 -77.61785)"
"VA0061310","SPRING BRANCH WWTF","facility","wwtp","POINT (37.050329 -77.08597)"
"VA0061379","VDOT INTERSTATE 85 BRUNSWICK REST AREA","facility","wwtp","POINT (36.859444 -77.835)"
"VA0061409","WOODFORD ESTATES MHC LIMITED LIABILITY CORPORATION","facility","wwtp","POINT (38.091378 -77.520332)"
"VA0061549","TOMS BROOK-MAURERTOWN SANITARY DISTRICT","facility","wwtp","POINT (38.945378 -78.438848)"
"VA0061590","CULPEPER WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (38.481944 -78.009722)"
"VA0061646","SURRY TOWN OF WWTF","facility","wwtp","POINT (37.130856 -76.837272)"
"VA0061743","SHEFFIELD ACRES STP","facility","wwtp","POINT (36.895704 -82.460582)"
"VA0061751","CHRISTIANSBURG TOWN - WWTF","facility","wwtp","POINT (37.15688 -80.47159)"
"VA0061859","COURTLAND TOWN - WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (36.68605 -77.0371)"
"VA0061913","POUND WWTP","facility","wwtp","POINT (37.136225 -82.603907)"
"VA0061964","FOREST LAKES ESTATES STP","facility","wwtp","POINT (39.064154 -78.181463)"
"VA0061972","TRAVELCENTERS OF AMERICA - RICHMOND TRAVEL CENTER","facility","wwtp","POINT (37.72269 -77.44716)"
"VA0062031","EVERGREEN MOBILE HOME PARK","facility","wwtp","POINT (37.266749 -79.099717)"
"VA0062103","SCOTTSBURG WWTP","facility","wwtp","POINT (36.741944 -78.8025)"
"VA0062154","HANOVER COURTHOUSE WWTP","facility","wwtp","POINT (37.7857 -77.3107)"
"VA0062162","CENTRAL VIRGINIA COMMUNITY HEA","facility","wwtp","POINT (37.638333 -78.356667)"
"VA0062189","LCSA - SAINT LOUIS COMMUNITY","facility","wwtp","POINT (39.103252 -77.558716)"
"VA0062219","ELLISTON-LAFAYETTE WWTP","facility","wwtp","POINT (37.23054 -80.21187)"
"VA0062316","PINE GROVE PARK STP","facility","wwtp","POINT (36.597593 -78.529445)"
"VA0062391","INDIAN COVE RESORT ASSOCIATION INCORPORATED","facility","wwtp","POINT (36.73083 -75.9733)"
"VA0062421","NEWTON MOBILE COURT INC","facility","wwtp","POINT (36.631396 -78.636521)"
